Codice,Specifica,Fornitore,Prodotto,Descrizione,Note,Allegati,DeliveryFailureCause
CON998,[FASE1],Consolidatore,ALL,Scartato NODOC,,,
CON997,[FASE1],Consolidatore,ALL,Scartato CAP/INTERNAZIONALE,,,
CON996,[FASE1],Consolidatore,ALL,Scartato PDF,,,
CON995,[FASE1],Consolidatore,ALL,Errore Stampa,,,
CON993,[FASE1],Consolidatore,ALL,Errore Stampa,,,
CON080,[FASE1],Consolidatore,ALL,Stampato ed Imbustato,,,
CON020,[FASE1],Consolidatore,ALL,Affido Conservato,,Affido conservato,
CON010,[FASE1],Consolidatore,ALL,Distinta Elettronica inviata a Recapitista,,,
CON011,[FASE1],Consolidatore,ALL,Distinta Elettronica Sigillata,,Distinta Elettronica Sigillata,
CON012,[FASE1],Consolidatore,ALL,OK Distinta Elettronica da Recapitista,,OK Distinta Elettronica da Recapitista,
CON992,[FASE1],Consolidatore,ALL,KO Distinta Elettronica da Recapitista,,KO Distinta Elettronica da Recapitista,
CON09A,[FASE1],Consolidatore,ALL,Materialità Pronta,,,
CON09B,[FASE2],Consolidatore,ALL,Prenotazione Pickup,Lo statusDateTime dovrà coincidere con la data di prenotazione del pickup,,
CON016,[FASE1],Consolidatore,ALL,PICKUP Sigillata,,PICKUP Sigillata,
CON018,[FASE1],Consolidatore,ALL,Accettazione Recapitista,,Accettazione Recapitista,
CON991,[FASE1],Consolidatore,ALL,Mancata Accetazione Recapitsita,,,
REC016,[FASE2],Recapitista,ALL,Materialità Ritirata,Lo statusDateTime dovrà coincidere con la presa in carico della materialità da parte del recapitista,,
REC018,[FASE2],Recapitista,ALL,Accettazione Recapitista,Lo statusDateTime dovrà coincidere con la controfirma della distinta di presa in carico della materialità da parte del recapitista,,
REC991,[FASE2],Recapitista,ALL,Mancata Accetazione Recapitsita,,,
RECRS010,[FASE1],Recapitista,RS,Inesito,,,
RECRS011,[FASE1],Recapitista,RS,In giacenza,,,
RECRS001C,[FASE1],Recapitista,RS,Consegnato - Fascicolo Chiuso,,,
RECRS002A,[FASE1],Recapitista,RS,Mancata consegna - pre-esito,,,M02 M05 M06 M07 M08 M09
RECRS002B,[FASE1],Recapitista,RS,Mancata consegna - In Dematerializzazione,,Plico,M02 M05 M06 M07 M08 M09
RECRS002C,[FASE1],Recapitista,RS,Mancata consegna - Fascicolo Chiuso,,,M02 M05 M06 M07 M08 M09
RECRS002D,[FASE1],Recapitista,RS,Irreperibilità Assoluta - pre-esito,,,M01 M03 M04
RECRS002E,[FASE1],Recapitista,RS,Irreperibilità Assoluta - In Dematerializzazione,,Plico,M01 M03 M04
RECRS002F,[FASE1],Recapitista,RS,Irreperibilità Assoluta - Fascicolo Chiuso,,,M01 M03 M04
RECRS003C,[FASE1],Recapitista,RS,Consegnato presso Punti di Giacenza - Fascicolo Chiuso,,,
RECRS004A,[FASE1],Recapitista,RS,Mancata consegna presso Punti di Giacenza - pre-esito,,,
RECRS004B,[FASE1],Recapitista,RS,Mancata consegna presso Punti di Giacenza - In Dematerializzazione,,Plico,
RECRS004C,[FASE1],Recapitista,RS,Mancata consegna presso Punti di Giacenza - Fascicolo Chiuso,,,
RECRS005A,[FASE1],Recapitista,RS,Compiuta giacenza - pre-esito,Lo statusDateTime dovrà rispettare la tempistica di giacenza prevista dal prodotto postale,,
RECRS005B,[FASE1],Recapitista,RS,Compiuta giacenza - In Dematerializzazione,Lo statusDateTime dovrà rispettare la tempistica di giacenza prevista dal prodotto postale,Plico,
RECRS005C,[FASE1],Recapitista,RS,Compiuta giacenza - Fascicolo Chiuso,Lo statusDateTime dovrà rispettare la tempistica di giacenza prevista dal prodotto postale,,
RECRS006,[FASE1],Recapitista,RS,Furto/Smarrimanto/deterioramento,,,F01 F02 F03 F04
RECRS013,[FASE1],Recapitista,RS,Non Rendicontabile,,,
RECRS015,[FASE1],Recapitista,RS,Causa Forza Maggiore,,,C01 C02 C03 C04 C05 C06
RECRN010,[FASE1],Recapitista,AR,Inesito,,,
